log
"[2022-08-04 18:24:11,096 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-99]: (google pay verify response, response <{'startTimeMillis': '1659608423603', 'expiryTimeMillis': '1659608718363', 'autoRenewing': False, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '14990000', 'countryCode': 'US', 'developerPayload': '', 'paymentState': 1, 'cancelReason': 0, 'userCancellationTimeMillis': '1659608647399', 'orderId': 'GPA.3390-9825-6650-03815', 'purchaseType': 0, 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
"[2022-08-05 19:48:24,524 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-99]: (google pay verify response, response <{'startTimeMillis': '1659696500045', 'expiryTimeMillis': '1659702017093', 'autoRenewing': True, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '89990000', 'countryCode': 'US', 'developerPayload': '', 'paymentState': 1, 'orderId': 'GPA.3376-8700-2644-47005..1', 'purchaseType': 0, 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
"[2022-08-11 08:06:04,131 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-100]: (google pay verify response, response <{'startTimeMillis': '1660176256692', 'expiryTimeMillis': '1660782599621', 'autoRenewing': True, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '89990000', 'countryCode': 'US', 'developerPayload': '', 'paymentState': 2, 'orderId': 'GPA.3385-0628-0355-99213', 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
"[2022-08-11 08:08:40,806 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-100]: (google pay verify response, response <{'startTimeMillis': '1660176256692', 'expiryTimeMillis': '1660782599621', 'autoRenewing': True, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '89990000', 'countryCode': 'US', 'developerPayload': '', 'paymentState': 2, 'orderId': 'GPA.3385-0628-0355-99213', 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
"[2022-08-11 07:21:32,530 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-100]: (google pay verify response, response <{'startTimeMillis': '1660173631887', 'expiryTimeMillis': '1660785383369', 'autoRenewing': True, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '89990000', 'countryCode': 'US', 'developerPayload': '', 'paymentState': 2, 'orderId': 'GPA.3366-4492-8003-89521', 'linkedPurchaseToken': 'goidkpplhegggkdiegbncmhj.AO-J1OyVw2gyqYyK-rBv-_xVam32syhoWdycCLDd28QQZResmqOmkXYmh4ZhmVahUEtFjjxiaG_qKVW2wA5W2mcYuQ2uvh1EL5KAKz6oXeOSnSYm6PIWWTk', 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
"[2022-08-11 07:38:23,723 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-100]: (google pay verify response, response <{'startTimeMillis': '1660173631887', 'expiryTimeMillis': '1660778183369', 'autoRenewing': False, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '89990000', 'countryCode': 'US', 'developerPayload': '', 'paymentState': 2, 'cancelReason': 0, 'userCancellationTimeMillis': '1660174700274', 'orderId': 'GPA.3366-4492-8003-89521', 'linkedPurchaseToken': 'goidkpplhegggkdiegbncmhj.AO-J1OyVw2gyqYyK-rBv-_xVam32syhoWdycCLDd28QQZResmqOmkXYmh4ZhmVahUEtFjjxiaG_qKVW2wA5W2mcYuQ2uvh1EL5KAKz6oXeOSnSYm6PIWWTk', 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
"[2022-08-11 08:06:04,131 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-100]: (google pay verify response, response <{'startTimeMillis': '1660176256692', 'expiryTimeMillis': '1660782599621', 'autoRenewing': True, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '89990000', 'countryCode': 'US', 'developerPayload': '', 'paymentState': 2, 'orderId': 'GPA.3385-0628-0355-99213', 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
"[2022-08-05 22:18:23,679 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-99]: (google pay verify response, response <{'startTimeMillis': '1659696500045', 'expiryTimeMillis': '1659709099784', 'autoRenewing': False, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '89990000', 'countryCode': 'US', 'developerPayload': '', 'cancelReason': 1, 'orderId': 'GPA.3376-8700-2644-47005..5', 'purchaseType': 0, 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
"[2022-08-05 17:32:03,167 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-99]: (google pay verify response, response <{'startTimeMillis': '1659690034878', 'expiryTimeMillis': '1659693631948', 'autoRenewing': False, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '89990000', 'countryCode': 'US', 'developerPayload': '', 'paymentState': 1, 'cancelReason': 0, 'userCancellationTimeMillis': '1659691920378', 'orderId': 'GPA.3343-8971-8127-11071..0', 'purchaseType': 0, 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
"[2022-08-05 17:32:03,167 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-99]: (google pay verify response, response <{'startTimeMillis': '1659690034878', 'expiryTimeMillis': '1659693631948', 'autoRenewing': False, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '89990000', 'countryCode': 'US', 'developerPayload': '', 'paymentState': 1, 'cancelReason': 0, 'userCancellationTimeMillis': '1659691920378', 'orderId': 'GPA.3343-8971-8127-11071..0', 'purchaseType': 0, 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
"[2022-08-05 21:18:26,315 |     INFO | luffy.apps.payment.google_pay.api-subscriptions_verify-99]: (google pay verify response, response <{'startTimeMillis': '1659696500045', 'expiryTimeMillis': '1659707417093', 'autoRenewing': True, 'priceCurrencyCode': 'USD', 'priceAmountMicros': '89990000', 'countryCode': 'US', 'developerPayload': '', 'paymentState': 1, 'orderId': 'GPA.3376-8700-2644-47005..4', 'purchaseType': 0, 'acknowledgementState': 1, 'kind': 'androidpublisher#subscriptionPurchase'}>)"
